Index,IsSame
0,True
1,True
3,True
5,True
6,True
7,True
8,True
12,True
15,True
16,True
17,True
18,True
19,True
22,True
23,True
25,True
26,True
27,True
28,True
30,True
32,True
34,True
35,True
36,True
37,True
38,True
39,True
44,True
51,True
53,True
54,True
56,True
60,True
68,True
70,True
71,True
72,True
73,True
74,True
78,True
79,True
80,True
83,True
85,True
86,True
88,True
89,True
90,True
92,True
93,True
95,True
96,True
99,True
101,True
102,True
106,True
111,True
114,True
117,True
118,True
121,True
122,True
123,True
125,True
128,True
130,True
131,True
132,True
133,True
143,True
145,True
150,True
151,True
153,True
154,True
156,True
157,True
158,True
162,True
163,True
165,True
